country,points,price,variety,type,title,description
France,90,32,Pinot Noir,red,Domaine François Schmitt NV Blanc de Noirs Pinot Noir (Crémant d'Alsace),"Notions of ripe, yellow apple peel signals that this is a more rounded, slightly more oxidative style, boasting a bready, autolytic backbone. With its rounded yet fresh character, this would make an ideal winter apéritif. Savor the beautiful oatmeal finish."
US,83,50,Pinot Noir,red,Loring Wine Company 2007 Aubaine Vineyard Pinot Noir (San Luis Obispo County),"Heavy and dull, like cherry pie filling, dusted with cinnamon and cocoa, without the pie shell. That baked crust provides the crunchy structure, which this fruit bomb lacks."
US,91,42,Cabernet Sauvignon,red,La Honda Winery 2012 Lonehawk Vineyard Cabernet Sauvignon (Santa Cruz Mountains),"Deep strawberry, blackberry, black olive and oregano show on the nose of this bottling that comes from a vineyard 1,100 feet above the town of Saratoga. The 100% American oak treatment makes for a savory sip, with bay leaf, white pepper, cracked peppercorn and olive, all bone dry and mouth-drying in tannins."
US,84,18,Merlot,red,Desert Wind 2010 Desert Wind Vineyard Merlot (Wahluke Slope),"One hundred percent varietal, this vineyard designated Merlot seems a casualty of the cool 2010 growing season with prominent herbal notes, tart plum flavors, and astringent tannins."
US,91,17,Sauvignon Blanc,white,RouteStock 2015 Sauvignon Blanc (Napa Valley),"A consistently great white, this vintage is as impressive as ever, exhibiting steely, rocky minerality around savory, smooth layers marked by light, pretty flavors of key lime and lemon peel."
US,97,110,Bordeaux-style Red Blend,red,Signorello 2005 Padrone Proprietary Red Wine Red (Napa Valley),"Marks a welcome return to the magnificence of the 2002, although more recent vintages haven't exactly been slouches. The '05 is amazing, a densely structured, deeply flavored Bordeaux blend that's mainly Cabernet Sauvignon. Shows classic notes of cassis, currants and black cherry liqueur, while 70% new oak adds enticingly rich layers of sweet toast and smoky vanilla. The tannins are pure, classic Napa, very refined and ripe, offering solid structural support with no trace of astringency. Beautiful now, and should slowly develop for many years."
US,93,85,Pinot Noir,red,Hirsch 2014 Block 8 Pinot Noir (Sonoma Coast),"Maybe the friendliest Hirsch bottling, this wine has wonderful complexity, medium body and a broad supple texture that make it a pleasure to taste. It has spicy lightly earthy aromas, plenty of raspberry, red cherry and rhubarb for fruit flavors, and a good sense of layering on the palate, followed by a long finish."
US,91,32,Cabernet Sauvignon,red,Brooklyn Winery 2012 Cabernet Sauvignon (Sonoma Valley),"Elegant and in balance, despite its powerful mix of ripeness and tension, this wine offers cranberry, thyme, oregano, graphite and tar. All combine for a savory succulence of intrigue and deliciousness, finishing in a length of black pepper."
US,90,30,Cabernet Sauvignon,red,Louis M. Martini 2010 Cabernet Sauvignon (Alexander Valley),"It's really easy to like now for its rich black currant, cherry and chocolate flavors. The tannins are firm and ripe, and there's a lovely balance of acidity and oak. This is one of the best Martini Alexander Valley Cabs to date."
US,85,25,Zinfandel,red,Truchard 2008 Zinfandel (Carneros),"As candied as a granola health bar, this Zin has flavors of sugared blackberries, roasted almonds, caramel and chocolate. If you like your Zins a little sweet, it's for you."
US,82,16,Zinfandel,red,Bella Vigna 1998 Costa Vineyard Zinfandel (Lodi),"Smells like a shootout in a tomato factory. It's a strong whiff of tomatoes on the vine, followed by tannin and a little sweet, grapy fruit."
US,89,38,Bordeaux-style Red Blend,red,Mark Ryan 2012 Numbskull BDX Red (Walla Walla Valley (WA)),"This appealing blend of Merlot (69%), Cabernet Sauvignon (28%) and Petit Verdot conveys dark roasted coffee along with red and black fruit with barrel accents. Abundant vanilla and coffee flavors partner with grippy tannins that need more time in the bottle to settle in."
US,91,18,Chardonnay,white,Taken Wine Co. 2013 Complicated Chardonnay (Sonoma County),"This is a delicious Chardonay. It dances in pear, peach and lemon notes. Balanced and addictive, it's easy to love and not overly complicated at all. Encased in just enough oak to provide texture and weight, this is a great wine for parties or casual dinners, pairable with just about anything."
US,94,55,Syrah,red,Betz Family 2008 La Côte Rousse Syrah (Red Mountain),"This Red Mountain Syrah spent a year in French oak, half new, half once-used. The fruit is wrapped in smoke and coffee, graphite and mineral scents and flavors. Crystal clear and densely packed, this shows none of the funk common in many Washington Syrahs, but an almost claret-like structure and grip. It should age well for a decade or longer."
US,93,200,Cabernet Sauvignon,red,JCB 2012 No. 1 Cabernet Sauvignon (Napa Valley),"This hedonistically powerful mix of 80% Cabernet Sauvignon, 16% Merlot and 4% Petit Verdot traffics in blackberry and black cherry jam over a layer of soft tannins. Coffee, toffee and subtle Asian and cinnamon spice keep the proceedings lively, for this is a seriously ripe and playful wine. Cellar through 2020."
US,94,55,Chardonnay,white,Joseph Phelps 2012 Freestone Vineyards Estate Grown Chardonnay (Sonoma Coast),"Made from estate-grown fruit near the chilly Sonoma Coast town of Freestone, this is a fully layered wine, expertly balanced in acidity yet offering plenty of full-figured mouthfeel and viscous pleasure. It delivers an electric mix of Meyer lemon, minerals and brioche, and will please a diverse range of palates."
US,84,25,Pinot Noir,red,Galante 2005 Almond Flat Pinot Noir (Carmel Valley),"Tastes harsh and a little stemmy, although you'll find Pinot's silky texture and nice flavors of cherries, red currants and cedar. Drink now."
US,85,15,Sauvignon Blanc,white,St. Francis 2014 Sauvignon Blanc (Sonoma County),"Grassy in style, this ripe, viscous white provides good value, bright and bittersweet in passionfruit and pineapple. Viscous, it ends full-figured."
Italy,86,13,Red Blend,red,Tommasi 2012 Masseria Surani Ares Red (Puglia),"This easy blend of Primitivo, Negroamaro and Cabernet Sauvignon opens with fruity aromas of dark berry and a whiff of tobacco. The palate offers dried plum, mature blackberry, a hint of clove and bitter almond alongside round tannins."
US,90,50,Rhône-style Red Blend,red,Cadaretta 2014 Windthrow Red (Columbia Valley (WA)),"This wine is 76% Syrah, 15% Mourvèdre and 9% Grenache. Aromas of black fruit, bittersweet chocolate, coffee, raw meat and spice are followed by smooth black-coffee flavors. It lingers on the finish."
US,88,27,Pinot Noir,red,Chehalem 2010 Three Vineyard Pinot Noir (Willamette Valley),"This smoky, dusty wine seems to be chugging quickly along the aging curve. At the moment, it's drinking nicely, decked out with pretty baking spice and mocha highlights. It's smooth and mouth filling, with lots of pretty cherry flavor."
Italy,90,30,Red Blend,red,Tenuta San Guido 2009 Le Difese Red (Toscana),"From the makers of Italy's legendary Sassicaia, this 70-30 Cabernet Sauvignon and Sangiovese blend delivers sweet cherry aromas backed by vanilla and tobacco. This wine has shown a great improvement over the years it has been produced."
US,86,28,Cabernet Sauvignon,red,Hess 2007 Allomi Vineyard Cabernet Sauvignon (Napa Valley),"Here's a gutsy, fruity Cabernet. It fills the mouth with juicy raspberry, cherry and blackberry flavors and hints of chocolate. Nothing subtle, just a dry, rich red wine for drinking now."
US,87,39,Pinot Noir,red,Domaine Carneros 2014 Estate Pinot Noir (Carneros),"From several of the producer's estate vineyards, this wine traffics in spicy, leathery texture and robust full-bodied power, layering in more tart savory characteristics of rhubarb, dark cherry and orange. The tannins are firm and supportive, taking on a velvety sheen."
France,87,15,Merlot,red,Château de Garros 2015  Bordeaux Supérieur,This Jean-Pierre and Philippe Rivière label benefits from the ripeness of the vintage to bring out red plum and a rich structure. The acidity and tannins perfectly emphasize the generous fruitiness. Drink from 2018.
US,83,23,Red Blend,red,Minassian-Young 2007 Black St. Peter Red (Paso Robles),"Soft and melted in fruit, with high alcohol that gives it a burn, this Zinfandel and Mourvèdre-based blend has raspberry, cola and spice flavors. Drink now with spicy burgers, ribs, roast pork."
US,88,6,Riesling,white,Ste. Chapelle 2001 Dry Riesling (Idaho),"Riesling has always been a strength of this winery, and this wine clearly shows why. It has a lightness and delicacy missing from most other domestic Riesling, yet it is not simple. Its complex, subtle, food-friendly flavors are right on the money. Best Buy. —P.G."
US,84,20,Chardonnay,white,Starmont 2008 Chardonnay (Napa Valley),"Too sweet and oaky, with sugary vanilla and pineapple jam flavors. Could be a Starbucks drink. Saved a bit by crisp acidity."
US,88,20,Sauvignon Blanc,white,Evolve 2010 Sauvignon Blanc (Sonoma Valley),"A clean, brisk Sauvignon Blanc with lots of complex interest. It's dry, but rich in citrus, tropical fruit and honeysuckle flavors, with a tantalizing hint of gooseberry."
US,92,68,Pinot Noir,red,Bergström 2014 Le Pré du Col Vineyard Pinot Noir (Ribbon Ridge),"In French, the vineyard name means “the meadow on the mountain,” a fitting name for the site. This is a spicy wine, with a touch of red-hot candy. The pretty cherry fruit is underscored with earth and mineral, and the astringent, tea-flavored tannins morph into a suggestion of cola at the tail end."
US,88,29,Sauvignon Blanc,white,Beltane Ranch 2013 Sauvignon Blanc (Sonoma Valley),"Creamy vanilla and pear give this white a decadent edge, brought back to earth by its integrated acidity. The use of oak is not overdone and there's body and structure to spare, along with tropical-leaning flavors of papaya and pineapple."
US,83,10,Chardonnay,white,Harlow Ridge 2010 Chardonnay (Lodi),"Direct and fruity, this Chardonnay is loaded with lemon."
US,89,48,Pinot Noir,red,Yamhill Valley 1998 Reserve Pinot Noir (Willamette Valley),"Smells young, fresh, and oaky, with flamboyant black-cherry fruit as well as roasted coffeebean and oriental spices. Very rich and extracted, with dry-cherry fruit and a creamy texture. It's a bit hard now with tannins, so give it a few years, or drink it sooner with duck or lamb."
US,86,20,Chardonnay,white,Icaria 2012 Chardonnay (Sonoma County),"A fairly standard Chardonnay, rich in oak, lees and ripe citrus and tropical fruit flavors, but raised up by brisk acidity and a fine minerality that gives it extra complexity. It's rich with honey and brown sugar, but doesn't feel cloying."
US,92,48,Pinot Noir,red,Iris Vineyards 2015 La Cantera Vineyard Pinot Noir (Chehalem Mountains),"This fascinating, distinctive wine has a frame of grapefruity citrus around peppery pomegranates. It's well knit, textural, and finishes with more citrus rind phenolics. It's sleek and polished, though not a opulently fruity as the listed alcohol might suggest."
France,87,27,Pinot Gris,white,Dopff & Irion 2005 Domaines du Château de Riquewihr Les Maquisards Pinot Gris (Alsace),"Done in a clean and fresh style, this Pinot Gris has nice depth of flavor, with plenty of apricot and pear interest in the mouth. The fruit here is very healthy and the impression totally dry. Hazelnuts and just a touch of minerality linger on the finish."
US,90,65,Syrah,red,Ross Andrew 2010 Old Block Boushey Vineyard Syrah (Columbia Valley (WA)),"This wine provides aromas of iron, red currant, cranberry and herb, along with a rubbing alcohol note that provides a bit of distraction. It's reserved but flavorful, with fruit and savory notes lingering on the tart, extended finish."
US,89,30,White Blend,white,Andis 2016 Cuvée Blanc White (Amador County),"Light, fresh and fruity without being at all sweet or soft, this is a charming dry wine to serve with lunch or at wine o'clock in the afternoon. It smell like freshly cut apples and Bosc pears, tastes crisp and feels tangy and palate cleansing."
France,85,11,Bordeaux-style Red Blend,red,Kirkland Signature 2011  Bordeaux Supérieur,"Ripe fruit dominates this forward, fruity wine. Caramel and blackberry flavors and firm tannins combine to make a wine that is almost ready to drink."
France,84,20,Bordeaux-style White Blend,white,Château de Callac 2013 Prestige  (Graves),"This is a totally herbaceous wine with no messing around. It has fresh acidity, crisp green fruitiness and lively acidity. Just a touch of wood gives a more sophisticated edge. Drink from 2016."
France,86,15,Bordeaux-style White Blend,white,Château Lauduc 2016  Bordeaux Blanc,"This wine is soft and rounded. It does have plenty of acidity but that is only a part of a ripe, smooth whole. The lemon fruitiness and touch of spice give the aftertaste a great lift."
France,88,28,Bordeaux-style Red Blend,red,Château Haut-Gelineau 2012  Côtes de Bourg,"Ripe, ready to drink and fruity, this is an attractive, balanced wine. Black-currant flavors are given structure by the tannins in this 94% Merlot and 6% Cabernet Franc blend from 15 acres. The fresh acidity of the vintage is still there, giving a lively juicy aftertaste. Drink now. An Alliance Bourg member."
US,91,27,Riesling,white,Smith-Madrone 2011 Riesling (Spring Mountain District),"Classic Smith-Madrone Riesling, this is dryish and clean, with mouthwatering acidity and hints of citrus, Asian pear, green apple and honey. It shows balance and elegance that is rare in California Riesling. Enjoyable now, and it should slowly develop nuances over the next eight years."
US,88,20,Chardonnay,white,Swiftwater Cellars 2013 Zephyr Ridge Chardonnay (Horse Heaven Hills),"Aromas of melted caramel, barrel spices, kiwi and pineapple rise up from this wine. The fruit flavors are lighter in style and lead to a warm finish with abundant fig notes that linger."
Italy,95,80,Sangiovese,red,Il Marroneto 2012  Brunello di Montalcino,"Forest floor, wild berry, new leather and balsam are some of the aromas you'll find in this bright, linear red. On the palate, firm, polished tannins support ripe red cherry, white pepper, andcrushed mint notes with a hint of black tea. It's still young and tightly wound but already boasts stunning elegance. Drink 2020–2032."
US,85,16,Zinfandel,red,Cline 2007 Ancient Vines Zinfandel (California),"Rich in spicy, briary berry-cherry and chocolate fruit, with ultra-smooth tannins, and just enough acidity to cut through barbecue sauce. It's a bit sweet and Porty on its own."
US,87,12,Pinot Noir,red,McManis 2015 Pinot Noir (California),"This is a generously fruity wine with light oak aromas, lots of straightforward black-cherry flavor, a smooth texture and full body."
France,90,39,Syrah,red,Éric & Jöel Durand 2010 Les Coteaux  (Saint-Joseph),"The brothers are better known for their Cornas, but this Saint-Joseph is a nice wine as well. It combines notes of marinated beef, ripe blackberries and espresso in a medium- to full-bodied wine that's mouthwatering and easy to drink. Try it now and over the next several years."
France,85,11,Red Blend,red,Château Lecusse 2009 Grappes d'Or Red (Gaillac),"A classic Gaillac blend of Duras, Gamay, Merlot and Syrah, this is a bright, fruity wine, the lighter of the two wines produced at Château Lecusse. Red berries dominate, allied to crisp acidity."
US,91,36,Red Blend,red,Kontos 2011 Alatus Blend Red (Walla Walla Valley (WA)),"Principally Cabernet Sauvignon, this also holds with Merlot, Malbec and Syrah. The coolness of the vintage shows through with aromas of dried and fresh savory herbs along with coffee, licorice and dark fruit. The palate is equal parts elegant and flavorful, with supple fruit notes that glide."
US,88,30,Pinot Noir,red,Spicy Vines 2016 Nouveau Pinot Noir (Russian River Valley),"This small-production, nouveau-style wine was made without oak or filtering. Simple and juicy, it's festive, with effusive dried cranberry and cola spice notes that are soft and easygoing."
France,93,27,Riesling,white,Domaine Charles Baur 2010 Brand Grand Cru Riesling (Alsace),The sand and granite soil of the Brand vineyard gives an intensely structured wine that's tight and steely. It's rich with apricot and pear flavors made crisp with refreshing acidity. Drink from 2015.
US,94,125,Cabernet Sauvignon,red,Carte Blanche 2009 Cabernet Sauvignon (Napa Valley),"This is the very definition of a modern cult-style Napa Cabernet. It's extraordinarily rich and flavorful in blackberries, blueberries, cassis and chocolate, while the jacket of tannins is as soft and velvety as modern winemaking can achieve. It doesn't seem likely to age beyond 2015."
US,94,70,Merlot,red,Duckhorn 2003 Merlot (Howell Mountain),"Those notorious mountain tannins have largely melted, making the wine drinkable now, although it will hold for a decade with proper cellaring. Lush and velvety, with a drop of Cabernet Franc, this is voluptuous in cherries, black currants and fine, toasty oak."
US,88,30,Cabernet Sauvignon,red,Cloudlift Cellars 2014 Halcyon Cabernet Sauvignon (Columbia Valley (WA)),"A good chunk of this wine comes from old-vine plantings at Bacchus Vineyard. Herb, barrel spice and mocha aromas lead to reserved cherry flavors, backed by lightly grainy tannins, with mocha flavors on the finish."
US,91,37,Bordeaux-style White Blend,white,DeLille 2012 Chaleur Estate Blanc White (Columbia Valley (WA)),"Modeled on a white Bordeaux, this is a lovely, lightly toasty blend of two-thirds Sauvignon Blanc and one-third Sémillon. The pretty fruit mixes candied lemon, peach and pear with streaks of butterscotch and a suggestion of hazelnuts."
Italy,88,23,Sangiovese,red,Banfi 2012  Rosso di Montalcino,"Fragrant and fresh, this opens with aromas of violets, perfumed berries and black spices. The juicy palate delivers dark cherry, crushed raspberry and cinnamon alongside supple tannins. Its easygoing nature makes it perfect for everyday enjoyment."
France,85,30,Chardonnay,white,Christophe Cordier 2013 Vieilles Vignes  (Mâcon),"Fresh fruit with apple acidity gives this wine a ready-to-drink character. It has an attractive lift of citrus and a light, crisp and fresh aftertaste."
US,92,50,Cabernet Sauvignon,red,V. Sattui 2009 Preston Cabernet Sauvignon (Napa Valley),"This is a fleshy Cabernet, with meaty, olive notes to the blackberries and black currants. It's nicely dry and tannic, the kind of Cab that needs a rich steak to tame the astringency. Should develop over the next 5–6 years, at least."
France,92,70,Chardonnay,white,Simonnet-Febvre 2007 Preuses Grand Cru  (Chablis),"The style is full in the mouth, showing vanilla as well as soft peach fruits. Finishing richly, this is not a Grand Cru for aging, but it does wear its ripe fruit easily with a good burst of steely acidity."
US,84,15,Cabernet Sauvignon,red,Spellbound 2012 Cabernet Sauvignon (California),"This Cab is pretty good for the price. It's ripe and fruity, with a full body and rich but soft tannins. Turns a bit treacly on the finish, with a dulcet, honeyed richness."
France,87,14,Bordeaux-style White Blend,white,Château Tour le Pin 2015  Bordeaux Blanc,"This is an attractive blend that includes a good proportion of ripe Sémillon and perfumed Muscadelle. They soften and deliciously fill out the herbal edge of the wine. That gives it a rich feel, full and fruity with a fragrant aftertaste. Drink now."
US,87,20,Pinot Noir,red,Barra 2012 Pinot Noir (Mendocino),"Smooth in texture and layered in flavor, this is well-balanced. The color is not too dark and the aromas and flavors recall red cherries and flowers. Mild tannins and fresh acidity help hold everything together."
Italy,90,75,Red Blend,red,Poggio Scalette 2013 Capogatto Red (Alta Valle della Greve),"A blend of equal parts Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot, this opens with aromas of French oak, blueberry and chopped Mediterranean herb. The soft, medium-bodied palate offers juicy black cherry, cassis, coffee and a hint of mint alongside round, polished tannins."
US,90,30,Zinfandel,red,Rodney Strong 2014 Zinfandel (Dry Creek Valley),"This wine's restrained aromas take time to come around, showing a mix of dust and black pepper before waves of juicy red fruit and soft tannin and oak mingle together seamlessly on the palate. Toasted oak and vanilla notes mark the long finish."
France,93,48,Riesling,white,Domaine Zinck 2010 Eichberg Grand Cru Riesling (Alsace),"With the first hints of maturity on the nose, this is already a rounded and steely wine. The fruit shows as spiced apples and black currants, cut with intense citrus. But the fruit is giving way to a very precise, crisp and nervy wine that could still age further. For its best, drink from 2018."
US,91,32,Syrah,red,Saviah 2008 Syrah (Walla Walla Valley (WA)),"Sourced from the new estate vineyard, this impressive young Syrah is compact and powerful. Scents of cinnamon, salted chocolate and black tea enhance the dark fruit flavors. Brandied cherries, smoke and earth streak on through a wine that seems to have a good decade of life ahead."
France,86,39,White Blend,white,Domaines Ott 2008 Clos Mireille Blanc de Blancs White (Côtes de Provence),"The nose is fresh and pretty and there's definitely a luxurious texture to the flower-accented palate. However, it lacks intensity in the mouth and a slight funkiness on the finish detracts. Drink soon."
US,88,40,Pinot Noir,red,Masút 2013 Estate Vineyard Pinot Noir (Mendocino),"Cherry pie and cinnamon dominate the aromas. Sweet oaky influences like baking spices and brown sugar come out in the flavors, as a lush texture soothes the palate. This tastes mild in terms of acidity and tannins so it comes off as soft and almost sweet."
Italy,86,14,Red Blend,red,Montecappone 2012  Rosso Piceno,"This blend of 70% Montepulciano and 30% Sangiovese opens with earthy aromas of tilled soil, underbrush and ripe black fruit. Ripe black cherry and raspberry flavors are layered with chocolate and espresso, alongside rough, drying tannins."
France,90,22,Rhône-style Red Blend,red,Château la Genestière 2014 Red (Lirac),"A traditional blend of Grenache, Syrah and Mourvèdre, this is a silky, medium-bodied wine. Cinnamon and cedar shadings frame bright cherry fruit and linger through the elegant finish. Drink now–2019."
Italy,90,59,Sangiovese,red,Cerbaia 2012  Brunello di Montalcino,"This opens with aromas of ripe berry, cake spice, leather and blue flower. The juicy medium-bodied palate offers black plum, wild cherry, coffee and star anise framed in chewy rounded tannins."
US,92,28,Merlot,red,Stevens 2005 Merlot (Yakima Valley),"Winemaker Tim Stevens' dark, subtle, beautifully proportioned wines glide across the palate like Apollo Ono dancing with the stars. The cool site brings out some of the floral and citrus accents often missing from Merlot, and the darker cherry and plum fruit flavors fill in right behind. Supple and sensuous, this is a wine to savor and, if possible, cellar for another decade."
France,92,122,Chardonnay,white,Olivier Leflaive 2012 Poruzots Premier Cru  (Meursault),"At this stage, this is a wood-dominated wine. Its potential is considerable because beneath this wood and toast awaits a wonderful range of ripe apples, apricots and mango that promise to develop into a full, generous wine. Keep until 2018."
Italy,83,11,Sangiovese,red,Badia di Morrona 1998 I Sodi del Paretaio  (Chianti),"There's some interesting game and slate accents on the nose here, but also a candied quality to the cherry fruit. The acidity is fairly high and the tannins tense and somewhat drying on the finish."
US,94,60,Pinot Noir,red,Bergström 2013 Le Pré du Col Vineyard Pinot Noir (Ribbon Ridge),"Grapes from this tiny AVA frequently deliver that something extra that catapults Pinot into a higher dimension. Here, solid cherry and berry tones bear almost indefinable traces of iron, mineral and sweet hay. Delicious already, this should continue to improve through 2020."
US,90,62,Bordeaux-style Red Blend,red,Justin 2007 Isoceles Red (Paso Robles),"Mainly Cabernet Sauvignon, with some Cabernet Franc and Merlot, this wine is exuberantly rich and sweet in ripe blackberry, black cherry and chocolate fruit. Smoky oak plays a crucial role, in both flavors and texture. It's a very pretty, polished wine, elegant and balanced and ready to drink now. Production was a hefty 11,000 cases."
US,87,25,Riesling,white,Stoller 2012 Estate Exclusive Riesling (Dundee Hills),"Despite the low alcohol, this is quite dry and tart, with a lemony base and some orange-pekoe flavors also. Not a complex Riesling, but light and pleasantly sippable."
US,91,42,Cabernet Sauvignon,red,Efeste 2005 Big Papa Old Vine Cabernet Sauvignon (Columbia Valley (WA)),"It's pure Cabernet Sauvignon, dense, dark and what might be called brooding. Despite the massive fruit, the darker notes of black olive and earth are not submerged in sweetness. In fact, there are Stag's Leap-like flavors of rock and mineral. Along with the sleek cassis and black cherry, come highlights of bitter chocolate."
US,87,45,Pinot Noir,red,J Wrigley 2011 Proposal Block Pinot Noir (McMinnville),"The first vintage from this estate vineyard, this is quite light, especially as the 2011 vintage was cool. It shows the delicate structure at which Pinot Noir excels. It's aromatic and varietal, very well made, and a good bottle for any roasted small bird such as squab or quail."
France,85,18,Chardonnay,white,Simonnet-Febvre 2012 Chitry  (Chablis),"An attractive wine from Chitry, south-west of Chablis, this is fresh, soft and fruity. It lacks complexity, but does have bright apple and pear flavors and refreshing acidity. It's a great apéritif wine, ready to drink now."
US,89,15,Sauvignon Blanc,white,Gainey 2013 Sauvignon Blanc (Santa Ynez Valley),"The nose on this wine from the longtime Santa Ynez Valley producer is a bit faint, with wet lawn and lemon most apparent. The palate is more sensation-based than flavor-driven, all about light texture and simmering acidity, with green apple and lime skin elements."
US,87,30,Red Blend,red,Telaya 2011 Turas Red (Columbia Valley (WA)),"Half Syrah with the balance Cabernet Sauvignon, Merlot and Petit Verdot, it brings sweet barrel notes of vanilla and coconut along with dried cherry and blueberry. The palate is light to medium bodied with an interplay of chocolate and cherry flavors that keeps things interesting even as the concentration dips."
Italy,94,80,Red Blend,red,Michele Satta 2003 I Castagni  (Bolgheri Superiore),"This is made from a curious 70-20-10 blend of Cabernet Sauvignon, Syrah and Teroldego (an indigenous grape of northern Italy). The results include black currant, lead pencil, green spice, natural rubber, smoked bacon and lingering blueberry. With its thick, chewy succulence, jackhammer tannins and amazing length, it will hold 20 years."
US,84,18,Sauvignon Blanc,white,Charles Krug 2009 Sauvignon Blanc (Napa Valley),"Good varietal flavors of citrus fruits, wildflowers, gooseberries and vanilla in this wine, along with crisp acidity. On the downside is too much sugary sweetness, which makes it cloying."
France,93,50,Pinot Noir,red,Domaine Rossignol-Trapet 2011 Les Teurons Premier Cru  (Beaune),"This is a soft wine on the surface, but under that generosity lies a firm core that gives the promise of aging. This powerful wine comes from stony soil which explains the tannic structure while the richness comes from ripe berry fruits. Drink from 2017."
US,88,14,Chardonnay,white,Knapp 2011 Barrel Reserve Chardonnay (Finger Lakes),"Our first taste of the 2011 Chards from the Finger Lakes, Knapp's Barrel Reserve is wonderfully crisp and refreshing with an abundance of fresh pear and lemon flavor. Subtly oaked with just a hint of vanilla and cream that lingers on the palate. Drink now."
US,90,32,Rhône-style Red Blend,red,Page Mill Winery 2014 GPS Red (Livermore Valley),"Deep color and complex aromas like dark chocolate and cedar lead to ripe, concentrated and tastefully dry berry and cherry flavors in this Rhône-style blend. The mouthfeel is firm with tannins but polished."
US,88,55,Bordeaux-style Red Blend,red,Benziger 2010 Oonapais Red (Sonoma Valley),"Softly tannic, this Bordeaux blend features layers of mocha, blackberries, prunes and sweet oak. It's a rich wine to drink now. Try with a beef stew accented with fruit."
US,85,40,Pinot Noir,red,Peter Paul Wines 2009 Mill Station Road Pinot Noir (Russian River Valley),"A bit stemmy, also a little underripe, with some minty, vegetal notes marring otherwise fine raspberries and cherries. Drink now."
US,90,34,Syrah,red,Tertulia 2012 Riviere Galets Estate Vineyard Syrah (Walla Walla Valley (WA)),"In this intriguing wine blended with 10% Grenache, the aromas, flavors and feel aren't entirely connected. It's aromatically very reserved, with notes of mineral, coffee and red fruit. It has a incredibly supple, dazzling texture with the throttle pulled back on the alcohol and extraction."
US,86,28,Chardonnay,white,Anaba 2009 Chardonnay (Sonoma Coast),"Sweet and extracted in pineapple, tangerine, lime and vanilla flavors, this Chardonnay also is generously oaked, which gives it even richer vanilla and buttered toast notes. It's flashy, yet would benefit from greater dryness and restraint. Size isn't everything."
US,93,38,Syrah,red,Frequency 2015 Watch Hill Syrah (Santa Barbara County),"Black currant, lavender, black pepper, soy and graphite show on the nose of this bottling by Zac Wasserman, an assistant to Joey Tensley. There is a flash of lavender at the tip of the sip, and then the darkness descends, with charred meats and blackened berries cut by a strong acidity. It still needs time to develop, but these wines disappear fast, so stock up."
US,88,32,Pinot Noir,red,Spindrift Cellars 2012 Barrel Select Pinot Noir (Willamette Valley),"The Barrel Select offers a bit more concentration than the winery's regular Pinot, with meatier tannins and highlights of spice and coffee grounds. It's soundly made and already drinks well in a forward, accessible style."
US,90,22,Riesling,white,Boundary Breaks 2011 No. 239 Dry Riesling (Finger Lakes),"Boundary Breaks is an exciting new project from the Finger Lakes, and the No. 239 is one of its best. While ebulliently fruity, almost tropical, on the nose, it's elegantly dry on the palate with a rich, creamy palate full of ripe grapefruit and peach flavors. Vibrant lemon-lime acidity, it finishes long with a hint of lime-skin pith."
US,85,14,Pinot Noir,red,Castle Rock 2010 Pinot Noir (Monterey County),"Zesty Monterey acidity gives life to this Pinot and lifts it above being a mere candy bar. Yes, it's sweetish and direct in cherries, raspberries and cola, but that tang makes it easy to enjoy."
US,87,30,Zinfandel,red,Rock Wall 2013 Harris Kratka Vineyard Zinfandel (Alexander Valley),"Chocolate graham cracker and a Port-like aroma of ripeness dominate in this wine, which adds in Carignane and Petite Sirah. Good acidity and a softness of texture complete the picture."
Italy,89,50,Sangiovese,red,Il Molino di Grace 2012 Il Margone Gran Selezione  (Chianti Classico),"This structured red opens with aromas suggesting espresso, French oak, menthol, mature plum and a whiff of Asian spice. On the taut palate, hints of coffee, toast and clove accent a core of dried black cherry. Tightly wound, assertive tannins grip the finish. Give it a couple of years for the tannins to soften a little then drink up to capture the remaining fruit richness."
US,94,35,Red Blend,red,àMaurice 2007 Red (Columbia Valley (WA)),"This vintage has the Horiuchi artist label. Another glorious wine from the 2007 vintage, full and forward, packed with plum and purple fruits. Sweet tobacco and baking spices lead into a lush, fruit-loaded core, ripe with berries and plums. The finish—thick and textural and darkly chocolaty—wraps around polished, elegant tannins."
US,91,20,Chardonnay,white,L'Ecole No. 41 2010 Chardonnay (Columbia Valley (WA)),"From a very cool vintage, this wine takes full advantage of the flavors the year delivered. Bracing and fresh, with a lively mix of lime and citrus fruits, its vivid acidity and a wash of wet rock, give it life and length across the palate. Complex and textural, this is a lovely wine."
US,87,23,Sauvignon Blanc,white,Dutton Estate 2013 Kylie's Cuvée Dutton Ranch Sauvignon Blanc (Russian River Valley),"Hinting at oak and steeped in ripe fig, this is a hearty white wine with an herbal edge, fermented in stainless steel and then aged in neutral oak. From prime spots within Dutton Ranch, it provides a layering of tropical pineapple and melon within a suggestion of lemon, finishing dry."
